COD;Nombre;X;Y;Cota;Muncipio;WEB
AL31;Totana;631023;4177172;236;Totana;http://siam.imida.es
AL41;Alhama Valle;639400;4183940;169;Alhama;http://siam.imida.es
AL52;Librilla;648642;4195008;125;Librilla;http://siam.imida.es
AL62;Cañada Gallego;641224;4158438;94;Mazarrón;http://siam.imida.es
AL91;La Morera;643080;4164288;112;Mazarrón;http://siam.imida.es
CA12;UPCT-La Palma;680675;4173267;30;Cartagena;http://siam.imida.es
CA21;Corvera;665200;4188754;227;Murcia;http://siam.imida.es
CA42;Balsapintada;664813;4179533;138;Fuente Alamo;http://siam.imida.es
CA52;La Aljorra;670129;4171693;84;Cartagena;http://siam.imida.es
CA73;Los Belones;693847;4164941;92;Cartagena;http://siam.imida.es
CA91;El Campillo;655332;4173881;175;Fuente Alamo;http://siam.imida.es
CI22;Estación de Blanca;647931;4233289;282;Blanca;http://siam.imida.es
CI32;Ulea;652564;4228485;236;Ulea;http://siam.imida.es
CI42;La Carrichosa;631510;4238383;244;Cieza;http://siam.imida.es
CI52;Calasparra;614203;4234746;275;Calasparra;http://siam.imida.es
CI71;Llano de las olivericas;623780;4236664;282;Calasparra;http://siam.imida.es
CR12;Barranda;589496;4211178;869;Caravaca;http://siam.imida.es
CR32;El Chaparral;615466;4218939;433;Cehegin;http://siam.imida.es
CR42;Moratalla;603922;4228300;456;Moratalla;http://siam.imida.es
CR52;Cehegín;606972;4218110;507;Cehegin;http://siam.imida.es
CR61;Casas del Rey;579236;4218905;1.232;Moratalla;http://siam.imida.es
JU12;Cª del Judio;637690;4250801;395;Jumilla;http://siam.imida.es
JU42;Yecla-Las Moratillas;657843;4280492;658;Yecla;http://siam.imida.es
JU52;Yecla - Pinillos;664448;4269943;567;Yecla;http://siam.imida.es
JU71;Las Encebras;653633;4250840;401;Jumilla;http://siam.imida.es
JU81;Aljunzarejo;646487;4242618;341;Jumilla;http://siam.imida.es
LO11;Purias;620981;4162511;324;Lorca;http://siam.imida.es
LO21;Pozohiguera;615444;4151563;356;Lorca;http://siam.imida.es
LO31;Aguilas;624577;4142248;31;Aguilas;http://siam.imida.es
LO41;La Paca;604000;4190456;693;Lorca;http://siam.imida.es
LO51;Tebar;621649;4149877;329;Aguilas;http://siam.imida.es
LO61;Puerto Lumbreras;612515;4161142;319;Puerto Lumbreras;http://siam.imida.es
ML12;Yechar;637771;4214288;264;Mula;http://siam.imida.es
ML21;Mula;634545;4211477;276;Mula;http://siam.imida.es
MO12;Torres de Cotillas;649024;4207948;161;Torres de Cotillas;http://siam.imida.es
MO22;Campotejar;655954;4221455;146;Molina Segura;http://siam.imida.es
MO31;El Llano;654935;4215181;80;Molina Segura;http://siam.imida.es
MO41;Abanilla;669458;4226450;162;Abanilla;http://siam.imida.es
MO51;Fortuna;661841;4225294;197;Fortuna;http://siam.imida.es
MO62;Loma del Aire;645574;4219690;206;Ojós;http://siam.imida.es
MU21;La Basca;675540;4211532;27;Beniel;http://siam.imida.es
MU31;Sangonera La Verde;652257;4195930;140;Murcia;http://siam.imida.es
MU52;Cañada de San Pedro;677062;4205239;125;Murcia;http://siam.imida.es
MU62;La Alberca;663907;4200807;56;Murcia;http://siam.imida.es
TP22;Santiago de la Ribera;691976;4184939;7;San Javier;http://siam.imida.es
TP42;Torre Blanca;685074;4182798;31;Torre Pacheco;http://siam.imida.es
TP52;El Mirador;686200;4191066;91;San Javier;http://siam.imida.es
TP73;Los Infiernos;682041;4188284;92;Torre Pacheco;http://siam.imida.es
TP91;Torre Pacheco;677368;4179725;56;Torre Pacheco;http://siam.imida.es
